"code","descriptor","compcatid","cost","uom","id"
"","Bacardi Light Rhum","3DC0D919636311E5B83800FF59FBB323",10.00,"SHOT","08B8F863637011E5B83800FF59FBB323"
"","Local Rhum","3DC0D919636311E5B83800FF59FBB323",3.40,"SHOT","08B953E4637011E5B83800FF59FBB323"
"","Malibu","3DC0D919636311E5B83800FF59FBB323",23.60,"SHOT","08B9AECD637011E5B83800FF59FBB323"
"","7-UP 500ml","3DC1FC28636311E5B83800FF59FBB323",12.50,"BOT","08BA0B96637011E5B83800FF59FBB323"
"","7-Up","3DC1FC28636311E5B83800FF59FBB323",20.50,"CAN","08BA6275637011E5B83800FF59FBB323"
"","7-Up Light","3DC1FC28636311E5B83800FF59FBB323",18.00,"CAN","08BABBC7637011E5B83800FF59FBB323"
"","Coke","3DC1FC28636311E5B83800FF59FBB323",41.95,"CAN","08BB1492637011E5B83800FF59FBB323"
"","Marlboro Menthol","3E0380D3636311E5B83800FF59FBB323",53.60,"PACK","08BB6C5B637011E5B83800FF59FBB323"
"","Coke 500ml","3DC1FC28636311E5B83800FF59FBB323",14.90,"BOT","08BBC5B1637011E5B83800FF59FBB323"
"","Coke Light","3DC1FC28636311E5B83800FF59FBB323",21.33,"CAN","08BC21A1637011E5B83800FF59FBB323"
"","Coke Zero","3DC1FC28636311E5B83800FF59FBB323",44.50,"CAN","08BC7DDB637011E5B83800FF59FBB323"
"","Coke Zero 500ml","3DC1FC28636311E5B83800FF59FBB323",20.83,"BOT","08BCD63B637011E5B83800FF59FBB323"
"","Gatorade Blue","3DC1FC28636311E5B83800FF59FBB323",28.00,"BOT","08BD2EDD637011E5B83800FF59FBB323"
"","Gatorade Grapes","3DC1FC28636311E5B83800FF59FBB323",28.00,"BOT","08BD8844637011E5B83800FF59FBB323"
"","Gatorade Lemon","3DC1FC28636311E5B83800FF59FBB323",28.00,"BOT","08BDE48E637011E5B83800FF59FBB323"
"","Gatorade Orange","3DC1FC28636311E5B83800FF59FBB323",28.00,"BOT","08BE401B637011E5B83800FF59FBB323"
"","Gatorade Pink","3DC1FC28636311E5B83800FF59FBB323",28.00,"BOT","08BE97FC637011E5B83800FF59FBB323"
"","Gatorade Tropical","3DC1FC28636311E5B83800FF59FBB323",28.00,"BOT","08BEEB6C637011E5B83800FF59FBB323"
